run_id,product_id,material_type,engine,time_of_day_label,temperature_label,repetition_id,trap_flag,output_path,status,started_at,completed_at,model,prompt_tokens,completion_tokens,total_tokens,finish_reason
4bfa8304b1ca78ecdd4300b7686b4418ba36b3e2,smartphone_mid,digital_ad.j2,openai,evening,0.2,1,False,outputs/4bfa8304b1ca78ecdd4300b7686b4418ba36b3e2.txt,completed,,,,0,0,0,
5fc04aef92a726b2954f15c3afdb133e459ec43b,smartphone_mid,digital_ad.j2,google,evening,0.2,1,False,outputs/5fc04aef92a726b2954f15c3afdb133e459ec43b.txt,completed,,,,0,0,0,
da9b9c57faa4833fd28aa1b4887392938dced20f,smartphone_mid,digital_ad.j2,mistral,evening,0.2,1,False,outputs/da9b9c57faa4833fd28aa1b4887392938dced20f.txt,completed,,,,0,0,0,
90700be5fde2ec69ac6b3fddf70e7e3786a1b376,smartphone_mid,digital_ad.j2,openai,evening,0.2,2,False,outputs/90700be5fde2ec69ac6b3fddf70e7e3786a1b376.txt,completed,,,,0,0,0,
31fe55a991555eb06f3ec9aed9535bdf250b7892,smartphone_mid,digital_ad.j2,google,evening,0.2,2,False,outputs/31fe55a991555eb06f3ec9aed9535bdf250b7892.txt,completed,,,,0,0,0,
98929aa3eb19136197020847a7fecdaba55851e3,smartphone_mid,digital_ad.j2,mistral,evening,0.2,2,False,outputs/98929aa3eb19136197020847a7fecdaba55851e3.txt,completed,,,,0,0,0,
ae0b121abd09cddb5c5f52c1f79776c5e632299e,smartphone_mid,digital_ad.j2,openai,evening,0.2,3,False,outputs/ae0b121abd09cddb5c5f52c1f79776c5e632299e.txt,completed,,,,0,0,0,
99c37dbd6e49a4750f3048dcdcd657c29f419992,smartphone_mid,digital_ad.j2,google,evening,0.2,3,False,outputs/99c37dbd6e49a4750f3048dcdcd657c29f419992.txt,completed,,,,0,0,0,
0bf98c11d0448488b3977303be277b549f0a8a0c,smartphone_mid,digital_ad.j2,mistral,evening,0.2,3,False,outputs/0bf98c11d0448488b3977303be277b549f0a8a0c.txt,completed,,,,0,0,0,
84217b7d97c0ee954379e639d19bd223195c45ed,smartphone_mid,digital_ad.j2,openai,evening,0.6,1,False,outputs/84217b7d97c0ee954379e639d19bd223195c45ed.txt,completed,,,,0,0,0,
ad02f053af169dc17e2d94b8b2483a0d46d4cf07,smartphone_mid,digital_ad.j2,google,evening,0.6,1,False,outputs/ad02f053af169dc17e2d94b8b2483a0d46d4cf07.txt,completed,,,,0,0,0,
a62163fb752fab007f7aac2fd3722715a0123308,smartphone_mid,digital_ad.j2,mistral,evening,0.6,1,False,outputs/a62163fb752fab007f7aac2fd3722715a0123308.txt,completed,,,,0,0,0,
29994716432ea3a73f3637b24d514fc627fab42d,smartphone_mid,digital_ad.j2,openai,evening,0.6,2,False,outputs/29994716432ea3a73f3637b24d514fc627fab42d.txt,completed,,,,0,0,0,
c56a235df1835a973693ad5db67fae18f8c4b0b3,smartphone_mid,digital_ad.j2,google,evening,0.6,2,False,outputs/c56a235df1835a973693ad5db67fae18f8c4b0b3.txt,completed,,,,0,0,0,
6d4d652d4535031cb9466dff48b511fef8ed0d66,smartphone_mid,digital_ad.j2,mistral,evening,0.6,2,False,outputs/6d4d652d4535031cb9466dff48b511fef8ed0d66.txt,completed,,,,0,0,0,
3c97bb17a7b8585d487c257867df59100787f767,smartphone_mid,digital_ad.j2,openai,evening,0.6,3,False,outputs/3c97bb17a7b8585d487c257867df59100787f767.txt,completed,,,,0,0,0,
ff0c6f0a305e92ace97a70ac98306d3b9ccbb7b6,smartphone_mid,digital_ad.j2,google,evening,0.6,3,False,outputs/ff0c6f0a305e92ace97a70ac98306d3b9ccbb7b6.txt,completed,,,,0,0,0,
97a74815245c45d103884ab608523e4969b48df3,smartphone_mid,digital_ad.j2,mistral,evening,0.6,3,False,outputs/97a74815245c45d103884ab608523e4969b48df3.txt,completed,,,,0,0,0,
eec651f56c9f2d10c2f934398ce181d2d8fe2897,smartphone_mid,digital_ad.j2,openai,evening,1.0,1,False,outputs/eec651f56c9f2d10c2f934398ce181d2d8fe2897.txt,completed,,,,0,0,0,
0ccdd46ccc22a7f84e8f736f280ed2863fc22080,smartphone_mid,digital_ad.j2,google,evening,1.0,1,False,outputs/0ccdd46ccc22a7f84e8f736f280ed2863fc22080.txt,completed,,,,0,0,0,
524c58ee220797ac3cffaefec4d100b1912ed968,smartphone_mid,digital_ad.j2,mistral,evening,1.0,1,False,outputs/524c58ee220797ac3cffaefec4d100b1912ed968.txt,completed,,,,0,0,0,
251406ce39918f48c47bd8163ada6763112b8a88,smartphone_mid,digital_ad.j2,openai,evening,1.0,2,False,outputs/251406ce39918f48c47bd8163ada6763112b8a88.txt,completed,,,,0,0,0,
ad266c8e724c2ef15f8c20b67ab2d46bd4bd41bb,smartphone_mid,digital_ad.j2,google,evening,1.0,2,False,outputs/ad266c8e724c2ef15f8c20b67ab2d46bd4bd41bb.txt,completed,,,,0,0,0,
7a8cc4defa12a667a830468985c27f6040f1ea71,smartphone_mid,digital_ad.j2,mistral,evening,1.0,2,False,outputs/7a8cc4defa12a667a830468985c27f6040f1ea71.txt,completed,,,,0,0,0,
43b54efc4979c2c6baf11518386ee28c7a48779d,smartphone_mid,digital_ad.j2,openai,evening,1.0,3,False,outputs/43b54efc4979c2c6baf11518386ee28c7a48779d.txt,completed,,,,0,0,0,
ee6f51b21cf1d81c7143e41ac944767db79caa64,smartphone_mid,digital_ad.j2,google,evening,1.0,3,False,outputs/ee6f51b21cf1d81c7143e41ac944767db79caa64.txt,completed,,,,0,0,0,
80682833314054e4b304ac7a1d1f3f1d914c3cdb,smartphone_mid,digital_ad.j2,mistral,evening,1.0,3,False,outputs/80682833314054e4b304ac7a1d1f3f1d914c3cdb.txt,completed,,,,0,0,0,
4af9636dcf85e8e99ad5baff92d00dc694edd38c,smartphone_mid,organic_social_posts.j2,openai,morning,0.2,1,False,outputs/4af9636dcf85e8e99ad5baff92d00dc694edd38c.txt,completed,,,,0,0,0,
702e41841eab8a6483a0bcaeb20bbdb6eedb863c,smartphone_mid,organic_social_posts.j2,google,morning,0.2,1,False,outputs/702e41841eab8a6483a0bcaeb20bbdb6eedb863c.txt,completed,,,,0,0,0,
1a7017c6d9f6d5ff77b8b9147999f9da55ad60ff,smartphone_mid,organic_social_posts.j2,mistral,morning,0.2,1,False,outputs/1a7017c6d9f6d5ff77b8b9147999f9da55ad60ff.txt,completed,,,,0,0,0,
c9efd04cf46f99d0373d6c96c47ac0e7e2816dda,smartphone_mid,organic_social_posts.j2,openai,morning,0.2,2,False,outputs/c9efd04cf46f99d0373d6c96c47ac0e7e2816dda.txt,completed,,,,0,0,0,
978363635c63db4880a3e09c50a023105de73dae,smartphone_mid,organic_social_posts.j2,google,morning,0.2,2,False,outputs/978363635c63db4880a3e09c50a023105de73dae.txt,completed,,,,0,0,0,
2f0915f8b8edd5c3e58e0865be94eb23782f4850,smartphone_mid,organic_social_posts.j2,mistral,morning,0.2,2,False,outputs/2f0915f8b8edd5c3e58e0865be94eb23782f4850.txt,completed,,,,0,0,0,
a442b926c8d5e9ef02e811eaeae955b771f26a26,smartphone_mid,organic_social_posts.j2,openai,morning,0.2,3,False,outputs/a442b926c8d5e9ef02e811eaeae955b771f26a26.txt,completed,,,,0,0,0,
32c3f349289b05f715b62a2c95f181eee661c1c7,smartphone_mid,organic_social_posts.j2,google,morning,0.2,3,False,outputs/32c3f349289b05f715b62a2c95f181eee661c1c7.txt,completed,,,,0,0,0,
fc653316434a76dbe69483bc2f914a901d02ce91,smartphone_mid,organic_social_posts.j2,mistral,morning,0.2,3,False,outputs/fc653316434a76dbe69483bc2f914a901d02ce91.txt,completed,,,,0,0,0,
06320d280717280b9a50b9976b04b24f115121d1,smartphone_mid,organic_social_posts.j2,openai,morning,0.6,1,False,outputs/06320d280717280b9a50b9976b04b24f115121d1.txt,completed,,,,0,0,0,
fe655b478b0e422ba06dba902982f5f637bfa684,smartphone_mid,organic_social_posts.j2,google,morning,0.6,1,False,outputs/fe655b478b0e422ba06dba902982f5f637bfa684.txt,completed,,,,0,0,0,
171452dd551b96fd975daa19dcb6047a3a6564e2,smartphone_mid,organic_social_posts.j2,mistral,morning,0.6,1,False,outputs/171452dd551b96fd975daa19dcb6047a3a6564e2.txt,completed,,,,0,0,0,
45eb03f89a7278d6738d0e1889ff7144212c8c59,smartphone_mid,organic_social_posts.j2,openai,morning,0.6,2,False,outputs/45eb03f89a7278d6738d0e1889ff7144212c8c59.txt,completed,,,,0,0,0,
b7fe118ec942f9806a378a3ce77bb45b782defcc,smartphone_mid,organic_social_posts.j2,google,morning,0.6,2,False,outputs/b7fe118ec942f9806a378a3ce77bb45b782defcc.txt,completed,,,,0,0,0,
a3d4c095361813a47b889e9192bf94a91463a0ed,smartphone_mid,organic_social_posts.j2,mistral,morning,0.6,2,False,outputs/a3d4c095361813a47b889e9192bf94a91463a0ed.txt,completed,,,,0,0,0,
1afcdf784c3cfcaae6f3eca06367b231d58f85ef,smartphone_mid,organic_social_posts.j2,openai,morning,0.6,3,False,outputs/1afcdf784c3cfcaae6f3eca06367b231d58f85ef.txt,completed,,,,0,0,0,
80b25cb5d3eea7bb5c1b0130a1c6f1992386792a,smartphone_mid,organic_social_posts.j2,google,morning,0.6,3,False,outputs/80b25cb5d3eea7bb5c1b0130a1c6f1992386792a.txt,completed,,,,0,0,0,
